site_name,survey_id,year,depth,visibility,count,family,genus,species,common_name
Bimini,22289,2016,15.33,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22300,2016,15.42,15,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Bimini,22274,2016,16.64,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22281,2016,19.23,15,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Bimini,22284,2016,21.09,15,3,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Bimini,22284,2016,21.09,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22283,2016,21.55,15,1,Carcharhinidae,Carcharhinus,leucas,Bull shark
Bimini,22283,2016,21.55,15,1,Sphyrnidae,Sphyrna,mokarran,Great hammerhead shark
Bimini,22269,2016,24.26,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22282,2016,24.81,15,2,Carcharhinidae,Carcharhinus,leucas,Bull shark
Bimini,22279,2016,24.99,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22279,2016,24.99,15,1,Carcharhinidae,Carcharhinus,perezi,Caribbean reef shark
Bimini,22276,2016,25.09,15,1,Sphyrnidae,Sphyrna,mokarran,Great hammerhead shark
Bimini,22277,2016,26.85,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22267,2016,27.49,15,5,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22268,2016,28.62,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22309,2016,30.18,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Bimini,22272,2016,34.84,15,1,Ginglymostomatidae,Ginglymostoma,cirratum,Nurse shark
Andros,3316,2016,5.3,25,1,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
Andros,486,2016,6.2,25,2,Carcharhinidae,Carcharhinus,acronotus,Blacknose shark
